Team ID,Team Name,Logo URL,Nickname
17,Atalanta,badges/17-Atalanta.png,null
19,Aalborg,badges/19-Aalborg.png,null
20,Aarhus,badges/20-Aarhus.png,null
23,FC Aarau,null,null
27,Aberdeen,badges/27-Aberdeen.png,The Dons
36,Aberystwyth,badges/36-Aberystwyth.png,null
41,Milan,badges/41-Milan.png,Rossoneri
42,Accrington,badges/42-Accrington.png,Stanley
45,Adanaspor,null,Adanaspor
51,Acad Coimbra,badges/51-Acad Coimbra.png,null
54,Anderlecht,badges/54-Anderlecht.png,null
57,Albacete,badges/57-Albacete.png,null
58,AEK Athens,badges/58-AEK Athens.png,null
61,Afan Lido,badges/61-Afan Lido.png,null
66,Arges Pitesti,null,null
68,Angers,badges/68-Angers.png,null
69,Hrvatski D.,null,null
72,Airdrie (old),null,The Diamonds
74,AIK Solna,badges/74-AIK Solna.png,null
80,Ajax,badges/80-Ajax.png,null
81,AB Copenhagen,null,null
82,Arka Gdynia,badges/82-Arka Gdynia.png,null
83,Ankaragucu,badges/83-Ankaragucu.png,null
86,Akademik Sofia,null,null
88,ASK Linz,null,null
90,Albion,badges/90-Albion.png,The Wee Rovers
92,Aldershot,badges/92-Aldershot.png,The Shots
98,Alloa,badges/98-Alloa.png,The Wasps
105,Est. Amadora,null,null
111,Ancona,null,null
117,Annan,badges/117-Annan.png,Galabankies
120,Royal Antwerp,null,null
129,Arbroath,badges/129-Arbroath.png,The Red Lichties
131,Ards,null,null
136,Aris Salonika,badges/136-Aris Salonika.png,null
142,Arsenal,badges/142-Arsenal.png,The Gunners
147,Ascoli,null,null
154,Aston Villa,badges/154-Aston Villa.png,The Villans
156,RB Salzburg,badges/156-RB Salzburg.png,null
163,Atl Madrid,badges/163-Atl Madrid.png,Los Colchoneros
168,Atvidabergs,badges/168-Atvidabergs.png,null
169,Athlone Town,badges/169-Athlone Town.png,null
172,Ayr,badges/172-Ayr.png,The Honest Men
174,Auxerre,badges/174-Auxerre.png,null
189,Altay Izmir,null,null
190,AZ Alkmaar,badges/190-AZ Alkmaar.png,null
203,Bari,badges/203-Bari.png,null
207,Ath Bilbao,badges/207-Ath Bilbao.png,null
