Accrington Stanley
AFC Wimbledon
Aldershot
Arsenal
Aston Villa
Barnet
Barnsley
Birmingham City
Blackburn Rovers
Blackpool
Bolton Wanderers
Boston United
Bournemouth
Bradford City
Brentford
Brighton & Hove Albion
Bristol City
Bristol Rovers
Burnley
Burton Albion
Bury
Crystal Palace
Cambridge United
Cardiff City
Carlisle
Charlton Athletic
Chelsea
Cheltenham Town
Chester
Chesterfield
Colchester United
Coventry City
Crawley Town
Crewe Alexandra
Dagenham & Redbridge
Darlington
Derby County
Doncaster Rovers
Everton
Exeter City
Fleetwood Town
Fulham
Gillingham
Grimsby Town
Halifax Town
Hartlepool United
Hereford
Huddersfield Town
Hull City
Ipswich Town
Kidderminster Harriers
Leeds United
Leicester City
Leyton Orient
Lincoln City
Liverpool
Luton Town
Macclesfield Town
Manchester City
Manchester United
Mansfield Town
Middlesbrough
Millwall
Milton Keynes Dons
Morecambe
Newcastle United
Newport County
Northampton Town
Norwich City
Nottingham Forest
Notts County
Oldham Athletic
Oxford United
Peterborough United
Plymouth Argyle
Port Vale
Portsmouth
Preston North End
Queens Park Rangers
Reading
Rochdale
Rotherham United
Rushden & Diamonds
Scarborough
Scunthorpe United
Sheffield United
Sheff Wednesday
Shrewsbury Town
Southampton
Southend United
Stevenage
Stockport County
Stoke City
Sunderland
Swansea City
Swindon Town
Torquay United
Tottenham Hotspur
Tranmere Rovers
Walsall
Watford
West Bromwich Albion
West Ham United
Wigan Athletic
Wimbledon
Wolverhampton Wanderers
Wrexham
Wycombe Wanderers
Yeovil Town
York City
