Tournament ID,Team ID,Team Name,Points,Rank,League Name,Season
1435,1718,Man City,22,1,Premier League,2015/16
1435,142,Arsenal,22,2,Premier League,2015/16
1435,2802,West Ham,20,3,Premier League,2015/16
1435,1724,Man Utd,20,4,Premier League,2015/16
1435,1527,Leicester,19,5,Premier League,2015/16
1435,2590,Tottenham,17,6,Premier League,2015/16
1435,646,C Palace,15,7,Premier League,2015/16
1435,2471,Southampton,14,8,Premier League,2015/16
1435,1563,Liverpool,14,9,Premier League,2015/16
1435,2744,West Brom,14,10,Premier League,2015/16
1435,942,Everton,13,11,Premier League,2015/16
1435,2513,Swansea,13,12,Premier League,2015/16
1435,2741,Watford,13,13,Premier League,2015/16
1435,2477,Stoke,12,14,Premier League,2015/16
1435,536,Chelsea,11,15,Premier League,2015/16
1435,1855,Norwich,9,16,Premier League,2015/16
1435,359,Bournemouth,8,17,Premier League,2015/16
1435,2493,Sunderland,6,18,Premier League,2015/16
1435,1823,Newcastle,6,19,Premier League,2015/16
1435,154,Aston Villa,4,20,Premier League,2015/16
1386,536,Chelsea,87,1,Premier League,2014/15
1386,1718,Man City,79,2,Premier League,2014/15
1386,142,Arsenal,75,3,Premier League,2014/15
1386,1724,Man Utd,70,4,Premier League,2014/15
1386,2590,Tottenham,64,5,Premier League,2014/15
1386,1563,Liverpool,62,6,Premier League,2014/15
1386,2471,Southampton,60,7,Premier League,2014/15
1386,2513,Swansea,56,8,Premier League,2014/15
1386,2477,Stoke,54,9,Premier League,2014/15
1386,646,C Palace,48,10,Premier League,2014/15
1386,942,Everton,47,11,Premier League,2014/15
1386,2802,West Ham,47,12,Premier League,2014/15
1386,2744,West Brom,44,13,Premier League,2014/15
1386,1527,Leicester,41,14,Premier League,2014/15
1386,1823,Newcastle,39,15,Premier League,2014/15
1386,2493,Sunderland,38,16,Premier League,2014/15
1386,154,Aston Villa,38,17,Premier League,2014/15
1386,1310,Hull,35,18,Premier League,2014/15
1386,435,Burnley,33,19,Premier League,2014/15
1386,2093,QPR,30,20,Premier League,2014/15
1304,1718,Man City,86,1,Premier League,2013/14
1304,1563,Liverpool,84,2,Premier League,2013/14
1304,536,Chelsea,82,3,Premier League,2013/14
1304,142,Arsenal,79,4,Premier League,2013/14
1304,942,Everton,72,5,Premier League,2013/14
1304,2590,Tottenham,69,6,Premier League,2013/14
1304,1724,Man Utd,64,7,Premier League,2013/14
1304,2471,Southampton,56,8,Premier League,2013/14
1304,2477,Stoke,50,9,Premier League,2013/14
1304,1823,Newcastle,49,10,Premier League,2013/14
1304,646,C Palace,45,11,Premier League,2013/14
1304,2513,Swansea,42,12,Premier League,2013/14
